mol_pred_loaded,sanitization,inchi_convertible,all_atoms_connected,bond_lengths,bond_angles,internal_steric_clash,aromatic_ring_flatness,non-aromatic_ring_non-flatness,double_bond_flatness,internal_energy,mol_true_loaded,mol_cond_loaded,passes_valence_checks,passes_kekulization,number_bonds,shortest_bond_relative_length,longest_bond_relative_length,number_short_outlier_bonds,number_long_outlier_bonds,number_angles,most_extreme_relative_angle,number_outlier_angles,number_noncov_pairs,shortest_noncovalent_relative_distance,number_clashes,number_valid_bonds,number_valid_angles,number_valid_noncov_pairs,number_aromatic_rings_checked,number_aromatic_rings_pass,aromatic_ring_maximum_distance_from_plane,number_non-aromatic_rings_checked,number_non-aromatic_rings_pass,non-aromatic_ring_maximum_distance_from_plane,number_double_bonds_checked,number_double_bonds_pass,double_bond_maximum_distance_from_plane,ensemble_avg_energy,mol_pred_energy,energy_ratio,relative_deviation,z_value,relative_deviation_passes,z_value_passes,all_cond
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,5,0.9922479574982908,1.0394079060925778,0,0,5,1.0231868673527504,0,5,0.9601554113887038,0,5,5,5,0,0,,0,0,,0,0,,3.719860263636298,29.732759723721447,7.992977589608864,6.992977589608863,203.39561619266937,True,False,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,0,,,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,,0,0,,18.604818308162454,0.198636938190995,0.010676639508156198,-0.9893233604918439,-0.42595681869882984,True,True,True
True,True,True,True,True,True,True,True,True,False,1.0,False,False,True,True,16,0.9861546347648961,1.0480436020453785,0,0,22,1.0736064859579986,0,67,1.0156586353427177,0,16,22,67,0,0,,0,0,,1,0,0.37309940030693944,305.86554113475586,396.1243058488012,1.2950929495986598,0.29509294959865995,11.758568731413698,True,True,
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,10,0.9735549721565896,1.0300746035865174,0,0,14,1.047873101108789,0,12,1.0044293774240012,0,10,14,12,0,0,,0,0,,0,0,,26.84617991359431,37.39949121141681,1.3931029044649492,0.3931029044649491,105533112978.22499,True,False,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,8,0.9712710001416932,1.0354760702796308,0,0,11,1.041082743422772,0,9,1.0127864832525584,0,8,11,9,1,1,0.0005683877023330693,0,0,,0,0,,41.05354763861545,67.56463689990377,1.6457685336882235,0.6457685336882234,780.1695426901073,True,False,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,9,1.008172873922476,1.0266492525283963,0,0,11,1.0562749552009618,0,16,1.033693840294463,0,9,11,16,0,0,,0,0,,0,0,,14.648712702273881,19.41926318820114,1.325663461553638,0.3256634615536379,7.16375065726666,True,True,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,2,0.9664129032598265,1.05411691774541,0,0,1,0.9985019937628058,0,0,,0,2,1,0,0,0,,0,0,,0,0,,-0.05291051652061246,8.644033903998446,-163.37080929139998,-164.37080929139998,86969444205.19058,True,False,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,10,0.9925676201016671,1.0217490140265943,0,0,14,1.0453927356271693,0,12,1.0781422323999217,0,10,14,12,0,0,,0,0,,0,0,,20.11020188592475,40.48132344614555,2.0129744930347355,1.0129744930347355,20.98510225343588,True,True,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,7,0.9430331481117291,1.0052391413889519,0,0,10,1.065878972019822,0,11,1.0540008821101654,0,7,10,11,0,0,,0,0,,1,1,0.011056647285495722,0.807703276330924,13.685022987932983,16.943131703140565,15.943131703140565,128773197116.02058,True,False,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,6,0.9707717420090088,1.03451114785225,0,0,6,1.022957346678637,0,9,1.0055690953353227,0,6,6,9,0,0,,0,0,,0,0,,6.243705113584693,15.789729047557199,2.5289037134701986,1.5289037134701988,34.07960658316293,True,True,True
