mol_pred_loaded,sanitization,inchi_convertible,all_atoms_connected,bond_lengths,bond_angles,internal_steric_clash,aromatic_ring_flatness,non-aromatic_ring_non-flatness,double_bond_flatness,internal_energy,mol_true_loaded,mol_cond_loaded,passes_valence_checks,passes_kekulization,number_bonds,shortest_bond_relative_length,longest_bond_relative_length,number_short_outlier_bonds,number_long_outlier_bonds,number_angles,most_extreme_relative_angle,number_outlier_angles,number_noncov_pairs,shortest_noncovalent_relative_distance,number_clashes,number_valid_bonds,number_valid_angles,number_valid_noncov_pairs,number_aromatic_rings_checked,number_aromatic_rings_pass,aromatic_ring_maximum_distance_from_plane,number_non-aromatic_rings_checked,number_non-aromatic_rings_pass,non-aromatic_ring_maximum_distance_from_plane,number_double_bonds_checked,number_double_bonds_pass,double_bond_maximum_distance_from_plane,ensemble_avg_energy,mol_pred_energy,energy_ratio,relative_deviation,z_value,relative_deviation_passes,z_value_passes,all_cond
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,8,0.9506897300871373,1.0136944655183933,0,0,9,1.034152713505716,0,19,0.7754905614153239,0,8,9,19,0,0,,0,0,,0,0,,9.174081787344505,27.990252173290912,3.0510140221229554,2.0510140221229554,51.33814518615545,True,True,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,6,1.0309554404564516,1.0387073482915132,0,0,0,,0,0,,0,6,0,0,0,0,,0,0,,0,0,,356.91697676449047,370.1208507834162,1.0369942448202407,0.03699424482024068,132038740189.25717,True,False,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,11,1.0006689296308413,1.0242834913527825,0,0,12,1.0775365172246296,0,43,1.1605264553828087,0,11,12,43,0,0,,0,0,,0,0,,17.310544913720072,62.4550578126177,3.6079198040216967,2.6079198040216967,2.145901088168517,True,True,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,9,0.9664391595189271,1.0385451845918694,0,0,12,1.0283409119434568,0,15,1.0707553013985056,0,9,12,15,0,0,,0,0,,0,0,,58.705633107143925,72.30912314016932,1.23172375993625,0.2317237599362501,26.363665017692533,True,True,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,10,0.9907068507236239,1.0181250740499117,0,0,13,1.0399309772420517,0,13,1.0201285728380844,0,10,13,13,0,0,,0,0,,0,0,,351.2254983876957,364.3778561129689,1.0374470469417774,0.03744704694177736,61.3627315325285,True,True,True
True,True,True,True,True,True,True,True,True,True,,False,False,True,True,12,0.9880208364014773,1.0097574936249383,0,0,10,1.078389251812662,0,14,1.1384400934079664,0,12,10,14,0,0,,0,0,,0,0,,,1201.1182106541717,,,,,,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,12,1.0060407788348844,1.0185348806790762,0,0,15,1.0425608688640513,0,9,1.0570286646151927,0,12,15,9,0,0,,0,0,,0,0,,635.052763962096,646.7541363607928,1.0184258270536324,0.01842582705363233,117013723986.96776,True,False,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,2,0.9175346217485526,1.0240461783113441,0,0,1,1.0213739873155756,0,0,,0,2,1,0,0,0,,0,0,,0,0,,-0.0334336745224977,16.140482773796187,-482.7612580524216,-483.7612580524216,161739164483.18686,True,False,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,9,0.991163849058879,1.0273914441626333,0,0,12,1.0442052541370788,0,15,1.0383760001694162,0,9,12,15,0,0,,0,0,,0,0,,19.05376377879388,24.360402349186995,1.27850867849528,0.27850867849528,4.071141715802075,True,True,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,4,0.960878061703173,1.0112347296715085,0,0,4,1.022718008782013,0,2,1.2135173237706582,0,4,4,2,0,0,,0,0,,0,0,,1.4743188401251817,16.8620760033277,11.437197670143028,10.437197670143028,4895.074027928174,True,False,True
