mol_pred_loaded,sanitization,inchi_convertible,all_atoms_connected,bond_lengths,bond_angles,internal_steric_clash,aromatic_ring_flatness,non-aromatic_ring_non-flatness,double_bond_flatness,internal_energy,mol_true_loaded,mol_cond_loaded,passes_valence_checks,passes_kekulization,number_bonds,shortest_bond_relative_length,longest_bond_relative_length,number_short_outlier_bonds,number_long_outlier_bonds,number_angles,most_extreme_relative_angle,number_outlier_angles,number_noncov_pairs,shortest_noncovalent_relative_distance,number_clashes,number_valid_bonds,number_valid_angles,number_valid_noncov_pairs,number_aromatic_rings_checked,number_aromatic_rings_pass,aromatic_ring_maximum_distance_from_plane,number_non-aromatic_rings_checked,number_non-aromatic_rings_pass,non-aromatic_ring_maximum_distance_from_plane,number_double_bonds_checked,number_double_bonds_pass,double_bond_maximum_distance_from_plane,ensemble_avg_energy,mol_pred_energy,energy_ratio,relative_deviation,z_value,relative_deviation_passes,z_value_passes,all_cond
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,9,1.009504204626441,1.0113360243817182,0,0,10,1.0288593720163142,0,17,1.0416854442288142,0,9,10,17,0,0,,0,0,,0,0,,284.30951470685477,290.3419590751087,1.0212178771944156,0.021217877194415626,0.711792772945131,1.0,1.0,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,6,0.9670555476271433,1.0253615884722056,0,0,6,1.0385964158248213,0,9,0.9740573692978843,0,6,6,9,0,0,,0,0,,0,0,,5.5719257858656634,14.714697153570265,2.640863808864275,1.6408638088642749,0.4133202381146175,1.0,1.0,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,0,,,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,,0,0,,18.604818308162454,0.9141328899577085,0.04913420141042994,-0.95086579858957,-0.4093987736985966,1.0,1.0,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,16,1.0050726365731182,1.030199880342121,0,0,23,1.0982522157827102,0,52,1.1683211436082503,0,16,23,52,0,0,,0,0,,0,0,,311.3933216692698,354.82893679325014,1.1394879469191481,0.1394879469191481,16.521104224793255,1.0,1.0,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,10,1.02296748442085,1.0287165668869984,0,0,13,1.0337731243628017,0,13,1.0467113863159943,0,10,13,13,0,0,,0,0,,0,0,,359.41235945322165,380.8940392327082,1.0597688955721136,0.05976889557211362,5.053329047363452,1.0,1.0,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,8,1.0033092005310178,1.0138017461146716,0,0,6,1.0323639368737159,0,14,1.219598102192147,0,8,6,14,0,0,,0,0,,0,0,,343.92072903338476,356.1020729931236,1.0354190455282397,0.035419045528239726,11.311530503792348,1.0,1.0,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,7,0.9622798711132413,1.045451524638836,0,0,8,1.021366108815146,0,13,0.9827547231757783,0,7,8,13,0,0,,0,0,,0,0,,10.506072298230238,23.780847151468542,2.2635335524460896,1.2635335524460893,30.121366282904788,1.0,1.0,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,11,0.9871564514164172,1.0422094730526723,0,0,12,1.0671986580455464,0,13,1.117027576419413,0,11,12,13,0,0,,0,0,,0,0,,694.415124095213,736.7338826358681,1.0609415853316766,0.06094158533167651,1.0902453994755372,1.0,1.0,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,2,0.9753879286280265,1.0637092144516362,0,0,1,1.0058238222185463,0,0,,0,2,1,0,0,0,,0,0,,0,0,,-0.05291051652061246,12.343943864372163,-233.29849481932968,-234.29849481932965,123968543808.92773,1.0,0.0,True
True,True,True,True,True,True,True,True,True,True,1.0,False,False,True,True,10,0.9824261832560583,1.0358969770866775,0,0,12,1.0557561300198892,0,14,1.1176591508855949,0,10,12,14,0,0,,0,0,,0,0,,122.38342837681326,146.68823339605504,1.1985955561271608,0.19859555612716082,55720.41791075911,1.0,0.0,True
